word,ADJ,ADP,ADV,AUX,CCONJ,NOUN,NUM,PRON,SCONJ,VERB,X
complexity,0,0,0,0,0,5,0,0,0,0,0
characterization,0,0,0,0,0,3,0,0,0,0,0
worth,0,0,0,0,0,5,0,0,0,0,0
debate,0,0,0,0,0,13,0,0,0,1,0
hero,0,0,0,0,0,29,0,0,0,0,0
villain,0,0,0,0,0,11,0,0,0,0,0
multifaceted,1,0,0,0,0,0,0,0,0,0,0
personality,0,0,0,0,0,5,0,0,0,0,0
evil,3,0,0,0,0,7,0,0,0,0,0
remarkable,18,0,0,0,0,0,0,0,0,0,0
psychology,0,0,0,0,0,2,0,0,0,0,0
field,0,0,0,0,0,4,0,0,0,0,0
present,7,0,0,0,0,0,0,0,0,24,0
star,0,0,0,0,0,2,0,0,0,1,0
shine,0,0,0,0,0,0,0,0,0,1,0
brightly,0,0,1,0,0,0,0,0,0,0,0
easy,5,0,0,0,0,0,0,0,0,0,0
overlook,0,0,0,0,0,0,0,0,0,1,0
light,1,0,0,0,0,6,0,0,0,0,0
era,0,0,0,0,0,14,0,0,0,0,0
unfortunate,3,0,0,0,0,0,0,0,0,0,0
contemporary,14,0,0,0,0,12,0,0,0,0,0
elevate,0,0,0,0,0,0,0,0,0,2,0
explore,0,0,0,0,0,0,0,0,0,9,0
internal,3,0,0,0,0,0,0,0,0,0,0
external,2,0,0,0,0,0,0,0,0,0,0
working,0,0,0,0,0,3,0,0,0,0,0
power,0,0,0,0,0,42,0,0,0,0,0
greed,0,0,0,0,0,6,0,0,0,0,0
humour,0,0,0,0,0,14,0,0,0,0,0
weapon,0,0,0,0,0,1,0,0,0,0,0
ill,1,0,2,0,0,1,0,0,0,0,0
society,0,0,0,0,0,30,0,0,0,0,0
vibrant,1,0,0,0,0,0,0,0,0,0,0
simply,0,0,8,0,0,0,0,0,0,0,0
commentary,0,0,0,0,0,8,0,0,0,0,0
effort,0,0,0,0,0,8,0,0,0,0,0
landscape,0,0,0,0,0,3,0,0,0,0,0
somewhat,0,0,10,0,0,0,0,0,0,0,0
fractured,1,0,0,0,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,41,0
rift,0,0,0,0,0,1,0,0,0,0,0
stylized,2,0,0,0,0,0,0,0,0,0,0
tension,0,0,0,0,0,7,0,0,0,0,0
